"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2447","changeProfileWithValidData()","","Fri Dec 05 13:55:22 UTC 2025","passed","Fri Dec 05 13:55:24 UTC 2025","","nbugs.api.ChangeProfileTest","nbugs.api.ChangeProfileTest","changeProfileWithValidData"
"","552","changeProfileWithInvalidData(String, String) [3]  Texttext, Name must contain two words with letters only","","Fri Dec 05 13:55:25 UTC 2025","passed","Fri Dec 05 13:55:26 UTC 2025","","nbugs.api.ChangeProfileTest","nbugs.api.ChangeProfileTest","changeProfileWithInvalidData"
"","588","changeProfileWithInvalidData(String, String) [5] Test Test Test, Name must contain two words with letters only","","Fri Dec 05 13:55:26 UTC 2025","passed","Fri Dec 05 13:55:27 UTC 2025","","nbugs.api.ChangeProfileTest","nbugs.api.ChangeProfileTest","changeProfileWithInvalidData"
"","537","changeDepositWithValidDataCheckDatabase()","","Fri Dec 05 13:55:29 UTC 2025","passed","Fri Dec 05 13:55:29 UTC 2025","","nbugs.api.DepositTest","nbugs.api.DepositTest","changeDepositWithValidDataCheckDatabase"
"","555","changeDepositWithInvalidValidBalance(Double, String) [1] 0.0, Invalid account or amount","","Fri Dec 05 13:55:29 UTC 2025","passed","Fri Dec 05 13:55:30 UTC 2025","","nbugs.api.DepositTest","nbugs.api.DepositTest","changeDepositWithInvalidValidBalance"
"","130","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [3] abc$, Password33$, USER, username, [Username must contain only letters, digits, dashes, underscores, and dots]","","Fri Dec 05 13:55:28 UTC 2025","passed","Fri Dec 05 13:55:28 UTC 2025","","nbugs.api.CreateUserTest","nbugs.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","122","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [4] abc%, Password33$, USER, username, [Username must contain only letters, digits, dashes, underscores, and dots]","","Fri Dec 05 13:55:28 UTC 2025","passed","Fri Dec 05 13:55:29 UTC 2025","","nbugs.api.CreateUserTest","nbugs.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","762","makeInvalidTransfer(Double, Integer, String) [1] 0.0, 1, Invalid transfer: insufficient funds or invalid accounts","","Fri Dec 05 13:55:28 UTC 2025","passed","Fri Dec 05 13:55:29 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makeInvalidTransfer"
"","347","adminCanCreateUserWithCorrectData()","","Fri Dec 05 13:55:29 UTC 2025","failed","Fri Dec 05 13:55:29 UTC 2025","","nbugs.api.CreateUserTest","nbugs.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","1","makeValidBetweenOwnAccountTransferCheckDb()","","Fri Dec 05 13:55:21 UTC 2025","skipped","Fri Dec 05 13:55:21 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makeValidBetweenOwnAccountTransferCheckDb"
"","572","changeProfileWithInvalidData(String, String) [4]   Texttext, Name must contain two words with letters only","","Fri Dec 05 13:55:26 UTC 2025","passed","Fri Dec 05 13:55:26 UTC 2025","","nbugs.api.ChangeProfileTest","nbugs.api.ChangeProfileTest","changeProfileWithInvalidData"
"","696","userCanCreateAccountTest()","","Fri Dec 05 13:55:27 UTC 2025","passed","Fri Dec 05 13:55:28 UTC 2025","","nbugs.api.CreateAccountTest","nbugs.api.CreateAccountTest","userCanCreateAccountTest"
"","537","changeDepositWithInvalidValidAccount(Long, String) [2] 9223372036854775807, Unauthorized access to account","","Fri Dec 05 13:55:31 UTC 2025","passed","Fri Dec 05 13:55:31 UTC 2025","","nbugs.api.DepositTest","nbugs.api.DepositTest","changeDepositWithInvalidValidAccount"
"","119","adminCanGenerateAuthTokenTest()","","Fri Dec 05 13:55:31 UTC 2025","passed","Fri Dec 05 13:55:31 UTC 2025","","nbugs.api.LoginUserTest","nbugs.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","857","changeDepositWithInvalidValidAccount(Long, String) [1] null, Unauthorized access to account","","Fri Dec 05 13:55:31 UTC 2025","passed","Fri Dec 05 13:55:32 UTC 2025","","nbugs.api.DepositTest","nbugs.api.DepositTest","changeDepositWithInvalidValidAccount"
"","341","userCanGenerateAuthTokenTest()","","Fri Dec 05 13:55:31 UTC 2025","passed","Fri Dec 05 13:55:31 UTC 2025","","nbugs.api.LoginUserTest","nbugs.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","1822","makerValidBetweenDifferentUserAccountTransfer()","","Fri Dec 05 13:55:25 UTC 2025","passed","Fri Dec 05 13:55:27 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makerValidBetweenDifferentUserAccountTransfer"
"","136","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [2] ab, Password33$, USER, username, [Username must be between 3 and 15 characters]","","Fri Dec 05 13:55:28 UTC 2025","passed","Fri Dec 05 13:55:28 UTC 2025","","nbugs.api.CreateUserTest","nbugs.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","620","changeProfileWithInvalidData(String, String) [1] Text 123, Name must contain two words with letters only","","Fri Dec 05 13:55:27 UTC 2025","passed","Fri Dec 05 13:55:27 UTC 2025","","nbugs.api.ChangeProfileTest","nbugs.api.ChangeProfileTest","changeProfileWithInvalidData"
"","0","changeDepositWithValidData()","","Fri Dec 05 13:55:31 UTC 2025","skipped","Fri Dec 05 13:55:31 UTC 2025","","nbugs.api.DepositTest","nbugs.api.DepositTest","changeDepositWithValidData"
"","949","makeInvalidTransferAccountId(Long, Long, String) [2] null, 9223372036854775807, Unauthorized access to account","","Fri Dec 05 13:55:25 UTC 2025","passed","Fri Dec 05 13:55:25 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makeInvalidTransferAccountId"
"","131","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [1]    , Password33$, USER, username, [Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","Fri Dec 05 13:55:28 UTC 2025","passed","Fri Dec 05 13:55:28 UTC 2025","","nbugs.api.CreateUserTest","nbugs.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","764","makeInvalidTransfer(Double, Integer, String) [3] 6000.0, 1, Invalid transfer: insufficient funds or invalid accounts","","Fri Dec 05 13:55:30 UTC 2025","passed","Fri Dec 05 13:55:31 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makeInvalidTransfer"
"","3647","makeInvalidTransferAccountId(Long, Long, String) [1] 9223372036854775807, 9223372036854775807, Unauthorized access to account","","Fri Dec 05 13:55:21 UTC 2025","passed","Fri Dec 05 13:55:25 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makeInvalidTransferAccountId"
"","751","makeInvalidTransfer(Double, Integer, String) [2] -0.1, 1, Invalid transfer: insufficient funds or invalid accounts","","Fri Dec 05 13:55:29 UTC 2025","passed","Fri Dec 05 13:55:30 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makeInvalidTransfer"
"","899","makerValidBetweenOwnAccountTransfer()","","Fri Dec 05 13:55:27 UTC 2025","passed","Fri Dec 05 13:55:28 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makerValidBetweenOwnAccountTransfer"
"","611","changeProfileWithInvalidData(String, String) [2] Texttext, Name must contain two words with letters only","","Fri Dec 05 13:55:24 UTC 2025","passed","Fri Dec 05 13:55:25 UTC 2025","","nbugs.api.ChangeProfileTest","nbugs.api.ChangeProfileTest","changeProfileWithInvalidData"
"","527","changeDepositWithInvalidValidBalance(Double, String) [2] -0.1, Invalid account or amount","","Fri Dec 05 13:55:30 UTC 2025","passed","Fri Dec 05 13:55:31 UTC 2025","","nbugs.api.DepositTest","nbugs.api.DepositTest","changeDepositWithInvalidValidBalance"
